dropout_feature_id,COUNT(*)
1,480352
2,215132
3,19066
4,819
5,19066
6,168906
7,168906
8,163550
9,168343
10,163550
11,163550
12,168538
13,231349
103,2409
104,84
105,2409
109,125521
110,121769
111,121769
112,125588
